event_id,event_date,city,side,channel,pilot_group,event_type,requests,completed_trips,cancelled_trips,response_time_min,success_rate_pct,adoption_rate_pct,revenue_inr,cost_inr,satisfaction_score
EVT-00251,2025-01-05,Hyderabad,Driver,App,Pilot,Trip Completed,27.0,1.0,26.0,5.49,3.7,66.54,311.07,120.73,3.2
EVT-00595,2025-01-06,Hyderabad,Rider,App,Control,Trip Completed,26.0,22.0,4.0,10.57,84.62,63.5,3027.28,2023.47,4.9
EVT-00104,2025-01-06,Bengaluru,Driver,App,Pilot,Trip Completed,13.0,10.0,3.0,5.44,76.92,93.6,1159.84,811.3,3.0
EVT-00354,2025-01-06,Mumbai,Driver,Partner,Pilot,Trip Cancelled,10.0,3.0,7.0,5.05,30.0,90.71,810.59,619.49,4.3
EVT-00282,2025-01-06,Chennai,Rider,Web,Pilot,Trip Completed,21.0,14.0,7.0,5.77,66.67,62.37,4563.61,1617.92,4.0
EVT-00565,2025-01-07,Kolkata,Rider,Partner,Pilot,Trip Cancelled,9.0,2.0,7.0,11.51,22.22,45.51,702.25,498.64,2.7
EVT-00454,2025-01-09,Kolkata,Rider,App,Pilot,Trip Cancelled,8.0,4.0,4.0,15.3,50.0,79.37,1582.89,1138.69,3.3
EVT-00084,2025-01-09,Mumbai,Rider,App,Pilot,Trip Completed,4.0,1.0,3.0,10.17,25.0,45.82,172.58,61.99,4.8
EVT-00469,2025-01-09,Hyderabad,Rider,Web,Control,Trip Cancelled,5.0,1.0,4.0,16.93,20.0,82.34,400.05,275.36,3.4
EVT-00004,2025-01-09,Mumbai,Rider,Web,Control,Trip Completed,7.0,3.0,4.0,9.67,42.86,37.17,1167.51,559.69,4.2
EVT-00092,2025-01-10,Kolkata,Rider,Partner,Control,Trip Completed,7.0,5.0,2.0,3.49,71.43,81.05,727.42,296.53,3.6
EVT-00457,2025-01-11,Kolkata,Rider,Partner,Pilot,Trip Completed,11.0,11.0,0.0,10.07,100.0,47.45,3891.35,1723.43,2.7
EVT-00382,2025-01-11,Mumbai,Driver,Partner,Control,Trip Cancelled,19.0,5.0,14.0,5.66,26.32,54.39,1443.18,1153.05,4.5
EVT-00638,2025-01-11,Delhi,Driver,Web,Control,Trip Completed,32.0,13.0,19.0,4.89,40.62,65.69,4921.88,3020.2,4.8
EVT-00204,2025-01-12,Bengaluru,Rider,Web,Control,Trip Cancelled,5.0,3.0,2.0,5.13,60.0,65.77,992.32,607.91,2.6
EVT-00055,2025-01-12,Mumbai,Driver,Web,Pilot,Trip Completed,27.0,8.0,19.0,3.02,29.63,65.31,2510.77,1521.1,2.9
EVT-00120,2025-01-12,Kolkata,Driver,App,Pilot,Trip Cancelled,19.0,13.0,6.0,7.06,68.42,46.47,4530.47,3077.79,3.7
EVT-00124,2025-01-12,Bengaluru,Rider,Web,Control,Driver Online,26.0,7.0,19.0,8.19,26.92,72.92,2065.45,1107.96,3.8
EVT-00369,2025-01-12,Bengaluru,Driver,Partner,Control,Trip Cancelled,16.0,1.0,15.0,10.99,6.25,62.03,173.81,127.63,3.1
EVT-00106,2025-01-12,Kolkata,Driver,App,Control,Rider Request,17.0,7.0,10.0,5.79,41.18,74.94,1845.17,1365.28,2.8
EVT-00226,2025-01-12,Chennai,Rider,Partner,Pilot,Rider Request,32.0,5.0,27.0,11.21,15.62,58.65,885.83,400.05,4.4
EVT-00361,2025-01-12,Pune,Driver,Partner,Control,Trip Completed,21.0,7.0,14.0,16.85,33.33,41.01,1631.14,846.12,4.7
EVT-00240,2025-01-13,Pune,Rider,Partner,Control,Driver Online,30.0,8.0,22.0,3.24,26.67,84.25,2392.09,894.86,3.4
EVT-00424,2025-01-13,Delhi,Driver,Web,Pilot,Trip Cancelled,29.0,1.0,28.0,4.26,3.45,64.14,91.31,37.52,3.5
EVT-00316,2025-01-13,Pune,Driver,App,Control,Driver Online,26.0,10.0,16.0,11.28,38.46,57.36,976.76,357.37,3.6
EVT-00548,2025-01-14,Kolkata,Rider,App,Control,Rider Request,17.0,13.0,4.0,10.23,76.47,71.82,4562.13,2374.51,4.5
EVT-00455,2025-01-14,Mumbai,Driver,Web,Pilot,Trip Completed,10.0,9.0,1.0,3.17,90.0,84.89,3203.41,1893.65,2.6
EVT-00640,2025-01-14,Pune,Driver,Partner,Control,Trip Completed,34.0,1.0,33.0,4.05,2.94,46.52,204.12,115.58,4.1
EVT-00486,2025-01-14,Pune,Driver,Web,Control,Trip Cancelled,17.0,10.0,7.0,4.31,58.82,59.22,1979.66,1120.3,4.5
EVT-00458,2025-01-14,Chennai,Driver,App,Control,Trip Completed,30.0,6.0,24.0,16.24,20.0,59.43,1067.27,760.27,4.6
EVT-00422,2025-01-14,Kolkata,Driver,App,Control,Trip Completed,24.0,19.0,5.0,3.36,79.17,60.69,7246.02,2707.1,4.9
EVT-00276,2025-01-14,Kolkata,Rider,Web,Control,Rider Request,24.0,17.0,7.0,17.03,70.83,92.63,1426.36,820.24,4.9
EVT-00425,2025-01-14,Bengaluru,Driver,Web,Pilot,Driver Online,30.0,28.0,2.0,9.22,93.33,60.87,10023.77,7994.24,4.6
EVT-00003,2025-01-15,Chennai,Driver,Partner,Control,Trip Completed,3.0,0.0,3.0,11.52,0.0,45.74,0.0,0.0,4.9
EVT-00411,2025-01-15,Hyderabad,Rider,App,Pilot,Trip Completed,17.0,15.0,2.0,6.99,88.24,70.12,4805.78,3274.1,4.5
EVT-00423,2025-01-15,Mumbai,Driver,Partner,Pilot,Trip Completed,13.0,8.0,5.0,3.68,61.54,96.59,2224.75,1886.0,4.8
EVT-00602,2025-01-15,Pune,Driver,Web,Pilot,Rider Request,7.0,6.0,1.0,15.77,85.71,55.2,843.8,396.32,3.5
EVT-00395,2025-01-15,Kolkata,Rider,Partner,Pilot,Trip Completed,28.0,28.0,0.0,7.88,100.0,38.22,6026.99,3651.47,3.7
EVT-00631,2025-01-15,Mumbai,Rider,Web,Control,Rider Request,15.0,6.0,9.0,3.35,40.0,39.76,1657.21,1112.51,4.6
EVT-00197,2025-01-15,Bengaluru,Rider,App,Pilot,Driver Online,2.0,2.0,0.0,12.82,100.0,39.39,278.92,216.96,3.1
EVT-00320,2025-01-15,Pune,Driver,Partner,Control,Trip Completed,8.0,7.0,1.0,1.64,87.5,44.8,1053.31,700.76,3.0
EVT-00619,2025-01-15,Pune,Driver,Web,Control,Trip Completed,11.0,4.0,7.0,6.27,36.36,71.89,1124.24,797.76,4.4
EVT-00516,2025-01-16,Bengaluru,Rider,Partner,Pilot,Trip Completed,34.0,10.0,24.0,15.24,29.41,66.08,3899.55,3174.26,2.9
EVT-00596,2025-01-16,Hyderabad,Rider,Partner,Control,Rider Request,15.0,5.0,10.0,2.93,33.33,77.16,1097.52,642.43,2.6
EVT-00435,2025-01-16,Hyderabad,Rider,App,Pilot,Trip Completed,28.0,0.0,28.0,15.3,0.0,66.66,0.0,0.0,5.0
EVT-00427,2025-01-16,Bengaluru,Rider,App,Pilot,Trip Completed,2.0,0.0,2.0,10.64,0.0,67.32,0.0,0.0,4.4
EVT-00025,2025-01-17,Delhi,Rider,Partner,Control,Trip Cancelled,26.0,2.0,24.0,5.73,7.69,73.53,215.48,75.98,4.1
EVT-00108,2025-01-17,Hyderabad,Driver,App,Control,Trip Completed,26.0,23.0,3.0,2.25,88.46,89.91,9452.68,7887.68,4.4
EVT-00367,2025-01-17,Chennai,Rider,App,Pilot,Trip Completed,11.0,6.0,5.0,3.14,54.55,73.0,1548.15,738.15,3.7
EVT-00283,2025-01-17,Bengaluru,Rider,App,Pilot,Driver Online,23.0,14.0,9.0,13.69,60.87,35.87,2302.27,1052.61,3.2
EVT-00496,2025-01-17,Hyderabad,Driver,App,Pilot,Driver Online,13.0,3.0,10.0,5.23,23.08,46.09,1123.56,642.78,2.8
EVT-00245,2025-01-17,Hyderabad,Driver,App,Pilot,Rider Request,26.0,5.0,21.0,14.08,19.23,63.66,854.33,392.91,2.8
EVT-00347,2025-01-17,Chennai,Driver,App,Pilot,Trip Completed,14.0,12.0,2.0,15.37,85.71,48.94,2514.44,1896.4,4.6
EVT-00211,2025-01-19,Hyderabad,Driver,App,Control,Trip Cancelled,33.0,25.0,8.0,17.26,75.76,86.74,2013.3,1345.29,2.6
EVT-00193,2025-01-19,Delhi,Driver,Partner,Pilot,Rider Request,21.0,12.0,9.0,6.83,57.14,97.82,4957.51,3361.52,2.8
EVT-00312,2025-01-20,Bengaluru,Rider,Partner,Control,Trip Completed,5.0,2.0,3.0,9.24,40.0,62.91,496.02,387.15,3.7
EVT-00349,2025-01-20,Chennai,Driver,Partner,Control,Rider Request,17.0,13.0,4.0,15.44,76.47,49.11,2097.01,1271.1,4.4
EVT-00026,2025-01-20,Delhi,Driver,App,Control,Rider Request,23.0,14.0,9.0,7.7,60.87,40.92,3872.61,1425.01,3.7
EVT-00206,2025-01-21,Bengaluru,Driver,App,Control,Trip Completed,7.0,3.0,4.0,3.22,42.86,59.22,737.42,498.58,4.9
EVT-00543,2025-01-21,Mumbai,Rider,App,Control,Driver Online,20.0,17.0,3.0,3.57,85.0,83.23,2574.91,1317.64,4.5
EVT-00505,2025-01-21,Kolkata,Rider,Web,Control,Trip Completed,11.0,1.0,10.0,16.01,9.09,67.4,263.32,125.75,4.4
EVT-00115,2025-01-21,Mumbai,Driver,Web,Pilot,Trip Cancelled,32.0,10.0,22.0,12.97,31.25,89.19,3451.49,1276.39,3.7
EVT-00434,2025-01-22,Bengaluru,Driver,Partner,Pilot,Trip Completed,1.0,1.0,0.0,15.77,100.0,42.48,138.44,81.44,4.3
EVT-00583,2025-01-23,Delhi,Driver,Partner,Control,Driver Online,22.0,7.0,15.0,13.43,31.82,37.05,1976.76,1224.79,4.9
EVT-00639,2025-01-23,Delhi,Driver,Web,Pilot,Driver Online,14.0,13.0,1.0,16.34,92.86,92.38,5209.43,3178.35,4.2
EVT-00414,2025-01-23,Kolkata,Driver,Partner,Pilot,Trip Completed,26.0,18.0,8.0,16.12,69.23,44.54,2369.54,1218.6,2.6
EVT-00217,2025-01-23,Bengaluru,Driver,Web,Pilot,Trip Completed,33.0,23.0,10.0,7.68,69.7,45.51,5206.74,2193.58,4.7
EVT-00622,2025-01-23,Kolkata,Rider,App,Pilot,Trip Cancelled,28.0,12.0,16.0,9.8,42.86,40.22,3489.61,1814.99,4.6
EVT-00033,2025-01-24,Kolkata,Driver,App,Control,Trip Cancelled,20.0,11.0,9.0,7.9,55.0,75.53,2593.87,1615.48,4.9
EVT-00464,2025-01-24,Mumbai,Rider,App,Pilot,Rider Request,5.0,1.0,4.0,10.52,20.0,50.73,196.71,152.65,3.9
EVT-00561,2025-01-24,Delhi,Driver,App,Control,Trip Cancelled,7.0,6.0,1.0,16.25,85.71,67.87,1015.85,745.27,4.8
EVT-00482,2025-01-25,Hyderabad,Rider,App,Control,Trip Completed,29.0,18.0,11.0,8.18,62.07,97.92,1776.39,1135.59,2.7
EVT-00281,2025-01-25,Pune,Driver,App,Pilot,Trip Cancelled,9.0,3.0,6.0,17.0,33.33,48.89,980.24,645.61,4.3
EVT-00357,2025-01-25,Hyderabad,Driver,App,Control,Trip Completed,10.0,9.0,1.0,2.89,90.0,59.77,1026.75,367.88,4.2
EVT-00461,2025-01-26,Delhi,Rider,Partner,Pilot,Trip Completed,23.0,6.0,17.0,8.73,26.09,88.17,1015.31,569.44,2.6
EVT-00508,2025-01-26,Pune,Driver,Partner,Control,Trip Completed,3.0,3.0,0.0,13.31,100.0,96.29,1242.73,741.9,4.7
EVT-00246,2025-01-27,Chennai,Rider,Web,Control,Driver Online,34.0,5.0,29.0,8.69,14.71,55.92,981.07,705.89,3.1
EVT-00192,2025-01-27,Mumbai,Rider,Web,Pilot,Trip Completed,8.0,4.0,4.0,13.59,50.0,86.68,745.9,558.9,4.9
EVT-00348,2025-01-27,Pune,Rider,Partner,Pilot,Rider Request,6.0,4.0,2.0,16.91,66.67,78.08,1042.94,382.06,3.7
EVT-00272,2025-01-27,Chennai,Driver,App,Control,Driver Online,19.0,11.0,8.0,5.24,57.89,90.4,3904.87,2688.8,4.1
EVT-00071,2025-01-27,Pune,Driver,Partner,Control,Trip Completed,6.0,6.0,0.0,9.12,100.0,94.68,792.84,509.89,3.8
EVT-00126,2025-01-28,Mumbai,Rider,App,Pilot,Trip Cancelled,18.0,7.0,11.0,8.04,38.89,49.93,1118.52,885.71,3.6
EVT-00103,2025-01-28,Pune,Rider,App,Pilot,Rider Request,29.0,18.0,11.0,15.11,62.07,56.91,5589.46,3537.38,3.2
EVT-00292,2025-01-29,Kolkata,Rider,Partner,Pilot,Driver Online,23.0,12.0,11.0,4.23,52.17,35.13,3892.46,2787.78,3.8
EVT-00606,2025-01-29,Bengaluru,Rider,Web,Control,Trip Completed,30.0,9.0,21.0,13.72,30.0,76.7,1807.92,1363.95,3.2
EVT-00031,2025-01-29,Chennai,Driver,App,Pilot,Trip Completed,5.0,3.0,2.0,1.78,60.0,83.09,1063.05,556.14,3.7
EVT-00526,2025-01-30,Delhi,Driver,Web,Control,Trip Cancelled,25.0,18.0,7.0,4.25,72.0,97.13,6463.6,3171.94,2.7
EVT-00052,2025-01-30,Kolkata,Driver,Partner,Control,Driver Online,10.0,7.0,3.0,15.39,70.0,83.44,717.64,267.63,4.1
EVT-00617,2025-01-30,Kolkata,Rider,Partner,Control,Trip Completed,1.0,1.0,0.0,10.34,100.0,93.95,283.19,213.73,4.5
EVT-00229,2025-01-31,Kolkata,Driver,Web,Pilot,Driver Online,3.0,1.0,2.0,10.2,33.33,74.85,299.12,227.3,3.3
EVT-00235,2025-01-31,Delhi,Rider,Partner,Control,Trip Completed,8.0,5.0,3.0,2.68,62.5,78.0,811.28,573.56,4.6
EVT-00594,2025-01-31,Bengaluru,Rider,Partner,Pilot,Trip Completed,26.0,20.0,6.0,11.3,76.92,73.3,4342.88,2988.93,3.0
EVT-00242,2025-01-31,Mumbai,Driver,App,Control,Trip Completed,22.0,0.0,22.0,14.64,0.0,82.5,0.0,0.0,4.8
EVT-00389,2025-01-31,Hyderabad,Rider,App,Pilot,Trip Completed,4.0,2.0,2.0,14.56,50.0,92.69,404.66,203.74,3.0
EVT-00156,2025-01-31,Bengaluru,Rider,Partner,Pilot,Trip Completed,11.0,1.0,10.0,2.45,9.09,78.79,1402.855,194.62,2.9
EVT-00079,2025-02-01,Mumbai,Rider,App,Pilot,Trip Cancelled,3.0,3.0,0.0,4.74,100.0,66.85,846.95,440.11,3.9
EVT-00365,2025-02-01,Hyderabad,Driver,Web,Pilot,Driver Online,11.0,4.0,7.0,2.85,36.36,37.2,1666.07,608.13,3.6
EVT-00150,2025-02-01,Delhi,Rider,Web,Pilot,Trip Completed,33.0,22.0,11.0,5.84,66.67,57.69,2415.57,1977.09,3.9
EVT-00267,2025-02-01,Bengaluru,Driver,Partner,Pilot,Trip Completed,32.0,9.0,23.0,9.45,28.12,57.79,3624.58,2414.26,2.8
EVT-00328,2025-02-01,Bengaluru,Driver,Partner,Control,Trip Completed,31.0,28.0,3.0,14.63,90.32,46.03,8644.72,3978.75,3.0
EVT-00047,2025-02-02,Chennai,Rider,Web,Control,Trip Completed,21.0,21.0,0.0,15.18,100.0,70.85,2133.47,785.99,2.8
EVT-00021,2025-02-02,Hyderabad,Rider,Partner,Control,Trip Completed,30.0,5.0,25.0,17.65,16.67,65.66,1940.37,1100.57,3.4
EVT-00549,2025-02-02,Kolkata,Driver,Web,Control,Rider Request,17.0,5.0,12.0,14.6,29.41,65.65,967.88,390.45,3.1
EVT-00577,2025-02-02,Hyderabad,Driver,App,Pilot,Rider Request,14.0,10.0,4.0,10.18,71.43,80.24,2776.94,2287.88,2.6
EVT-00572,2025-02-02,Hyderabad,Rider,App,Control,Trip Completed,5.0,1.0,4.0,12.8,20.0,79.59,202.4,78.6,3.6
EVT-00618,2025-02-03,Bengaluru,Driver,Web,Control,Trip Completed,30.0,1.0,29.0,10.04,3.33,42.84,407.15,201.52,4.6
EVT-00536,2025-02-03,Bengaluru,Driver,Partner,Pilot,Rider Request,6.0,6.0,0.0,6.21,100.0,71.91,703.34,585.82,2.9
EVT-00364,2025-02-03,Pune,Rider,Web,Control,Trip Completed,9.0,6.0,3.0,3.33,66.67,75.83,2265.24,1688.19,2.9
EVT-00377,2025-02-04,Pune,Rider,App,Pilot,Trip Cancelled,22.0,1.0,21.0,11.52,4.55,59.49,161.7,64.27,3.3
EVT-00388,2025-02-04,Pune,Driver,Partner,Pilot,Trip Cancelled,27.0,13.0,14.0,3.95,48.15,45.84,4924.16,3098.16,4.7
EVT-00205,2025-02-04,Delhi,Driver,App,Pilot,Driver Online,12.0,5.0,7.0,8.67,41.67,83.75,1423.27,1133.3,3.6
EVT-00136,2025-02-04,Hyderabad,Driver,Web,Control,Trip Completed,14.0,9.0,5.0,14.03,64.29,66.53,2379.63,1964.95,4.6
EVT-00462,2025-02-04,Bengaluru,Driver,App,Control,Trip Completed,24.0,7.0,17.0,3.26,29.17,58.11,796.8,584.29,4.9
EVT-00278,2025-02-04,Mumbai,Driver,Web,Control,Trip Completed,27.0,14.0,13.0,17.2,51.85,53.73,1558.24,1012.11,4.1
EVT-00230,2025-02-04,Chennai,Rider,Web,Pilot,Rider Request,8.0,0.0,8.0,2.98,0.0,35.15,0.0,0.0,4.1
EVT-00243,2025-02-05,Mumbai,Rider,Web,Control,Trip Completed,1.0,1.0,0.0,2.91,100.0,37.71,306.73,233.62,4.5
EVT-00481,2025-02-05,Mumbai,Driver,Web,Pilot,Rider Request,7.0,1.0,6.0,9.54,14.29,94.56,99.46,81.11,2.6
EVT-00125,2025-02-06,Pune,Driver,App,Pilot,Trip Completed,14.0,7.0,7.0,11.06,50.0,76.75,786.72,531.87,3.3
EVT-00554,2025-02-06,Mumbai,Rider,Partner,Control,Trip Completed,22.0,18.0,4.0,4.83,81.82,41.93,3786.33,2910.1,4.7
EVT-00098,2025-02-06,Pune,Rider,Partner,Control,Rider Request,24.0,10.0,14.0,16.41,41.67,97.32,3327.4,1272.71,3.5
EVT-00525,2025-02-06,Hyderabad,Driver,App,Pilot,Rider Request,9.0,9.0,0.0,4.2,100.0,53.86,1026.47,498.72,4.5
EVT-00129,2025-02-06,Hyderabad,Driver,App,Control,Trip Completed,5.0,0.0,5.0,9.87,0.0,37.62,0.0,0.0,4.9
EVT-00210,2025-02-06,Delhi,Rider,App,Pilot,Trip Completed,13.0,10.0,3.0,2.24,76.92,63.39,3960.05,1713.13,3.5
EVT-00571,2025-02-07,Chennai,Rider,Partner,Pilot,Trip Completed,15.0,11.0,4.0,15.5,73.33,90.98,2689.6,1920.94,3.3
EVT-00069,2025-02-07,Delhi,Rider,App,Pilot,Driver Online,4.0,1.0,3.0,14.08,25.0,90.24,196.31,149.32,2.8
EVT-00102,2025-02-09,Delhi,Rider,Partner,Pilot,Trip Completed,15.0,5.0,10.0,5.79,33.33,80.58,1242.99,485.42,3.1
EVT-00006,2025-02-09,Pune,Driver,App,Pilot,Driver Online,26.0,24.0,2.0,6.14,92.31,69.19,3069.94,2305.83,2.7
EVT-00587,2025-02-09,Bengaluru,Rider,Web,Pilot,Trip Completed,6.0,1.0,5.0,9.62,16.67,87.71,135.65,66.26,2.7
EVT-00623,2025-02-10,Mumbai,Driver,Web,Control,Trip Completed,1.0,0.0,1.0,2.74,0.0,68.75,0.0,0.0,4.8
EVT-00527,2025-02-10,Hyderabad,Driver,Partner,Control,Rider Request,18.0,12.0,6.0,15.41,66.67,63.09,3851.02,2757.09,2.9
EVT-00008,2025-02-10,Delhi,Rider,App,Control,Trip Completed,23.0,23.0,0.0,12.49,100.0,72.25,3988.32,2515.12,3.5
EVT-00447,2025-02-11,Bengaluru,Rider,App,Pilot,Trip Completed,3.0,2.0,1.0,14.64,66.67,87.48,830.32,619.12,4.0
EVT-00370,2025-02-11,Delhi,Rider,App,Control,Trip Completed,16.0,12.0,4.0,11.5,75.0,88.52,1143.59,820.04,3.4
EVT-00381,2025-02-11,Mumbai,Driver,Partner,Pilot,Trip Cancelled,28.0,8.0,20.0,2.92,28.57,38.59,926.91,595.81,3.9
EVT-00470,2025-02-11,Chennai,Driver,App,Pilot,Driver Online,8.0,4.0,4.0,16.84,50.0,47.9,1405.28,1010.78,2.7
EVT-00630,2025-02-12,Hyderabad,Rider,App,Control,Trip Completed,16.0,16.0,0.0,13.09,100.0,95.23,4170.49,2293.18,4.9
EVT-00506,2025-02-12,Chennai,Driver,Partner,Pilot,Trip Completed,10.0,4.0,6.0,15.66,40.0,64.21,1386.61,1141.79,3.2
EVT-00130,2025-02-12,Chennai,Driver,App,Control,Rider Request,31.0,23.0,8.0,10.01,74.19,65.8,7054.88,2961.82,2.6
EVT-00459,2025-02-13,Chennai,Driver,Web,Control,Trip Completed,17.0,17.0,0.0,2.54,100.0,55.45,5248.53,2722.06,2.9
EVT-00438,2025-02-13,Bengaluru,Driver,App,Pilot,Trip Completed,27.0,24.0,3.0,13.15,88.89,66.73,8685.87,5246.88,4.1
EVT-00401,2025-02-14,Mumbai,Rider,Partner,Control,Trip Completed,11.0,2.0,9.0,17.88,18.18,50.16,754.53,577.45,3.1
EVT-00131,2025-02-14,Hyderabad,Driver,Web,Pilot,Driver Online,21.0,0.0,21.0,13.56,0.0,44.84,0.0,0.0,3.1
EVT-00513,2025-02-15,Mumbai,Rider,App,Control,Rider Request,10.0,9.0,1.0,4.54,90.0,41.66,3207.32,2050.69,4.0
EVT-00448,2025-02-15,Chennai,Driver,App,Control,Trip Completed,25.0,9.0,16.0,2.53,36.0,59.41,2505.27,1458.32,4.0
EVT-00218,2025-02-16,Hyderabad,Rider,App,Pilot,Trip Completed,31.0,26.0,5.0,8.26,83.87,54.61,8065.75,5266.04,3.4
EVT-00082,2025-02-16,Pune,Driver,Partner,Pilot,Trip Completed,23.0,22.0,1.0,5.92,95.65,74.32,4822.4,3018.94,3.6
EVT-00241,2025-02-17,Kolkata,Driver,App,Pilot,Trip Completed,14.0,2.0,12.0,7.6,14.29,38.3,681.95,380.7,4.6
EVT-00228,2025-02-17,Kolkata,Rider,App,Pilot,Rider Request,32.0,7.0,25.0,2.53,21.88,90.66,1627.0,984.69,4.1
EVT-00056,2025-02-17,Pune,Rider,Web,Control,Trip Completed,15.0,14.0,1.0,7.61,93.33,65.52,4062.89,2171.44,3.7
EVT-00302,2025-02-17,Delhi,Driver,App,Control,Driver Online,32.0,16.0,16.0,1.74,50.0,48.06,5160.0,2803.48,4.2
EVT-00529,2025-02-18,Mumbai,Driver,App,Control,Trip Completed,34.0,25.0,9.0,4.05,73.53,74.49,2244.81,1508.2,3.2
EVT-00185,2025-02-18,Bengaluru,Rider,App,Control,Rider Request,33.0,3.0,30.0,8.4,9.09,40.6,937.43,583.6,5.0
EVT-00521,2025-02-18,Pune,Driver,Web,Pilot,Driver Online,20.0,1.0,19.0,3.27,5.0,84.18,389.47,210.87,4.1
EVT-00152,2025-02-18,Mumbai,Driver,Web,Control,Driver Online,30.0,13.0,17.0,14.8,43.33,84.77,2386.68,931.9,3.5
EVT-00474,2025-02-18,Chennai,Driver,Partner,Pilot,Driver Online,9.0,3.0,6.0,9.83,33.33,35.46,945.55,643.61,2.6
EVT-00556,2025-02-19,Chennai,Rider,Partner,Control,Trip Completed,2.0,2.0,0.0,13.72,100.0,42.43,674.45,268.18,2.6
EVT-00147,2025-02-19,Bengaluru,Driver,App,Pilot,Trip Completed,2.0,2.0,0.0,7.74,100.0,57.87,836.93,479.71,3.3
EVT-00050,2025-02-19,Hyderabad,Rider,Web,Control,Trip Completed,17.0,15.0,2.0,9.42,88.24,61.49,5201.81,3483.55,4.5
EVT-00402,2025-02-20,Bengaluru,Rider,Web,Pilot,Driver Online,18.0,11.0,7.0,13.56,61.11,61.46,3043.07,2331.92,4.5
EVT-00453,2025-02-20,Kolkata,Driver,Partner,Pilot,Rider Request,7.0,2.0,5.0,12.73,28.57,52.27,722.82,520.38,4.5
EVT-00080,2025-02-20,Delhi,Driver,Partner,Control,Driver Online,24.0,13.0,11.0,11.45,54.17,85.83,5294.91,4353.5,2.9
EVT-00383,2025-02-21,Chennai,Rider,Partner,Control,Trip Completed,25.0,11.0,14.0,13.08,44.0,70.06,2221.24,1789.59,2.6
